region,subregion,pop
alabama,autauga,54590
alabama,baldwin,183226
alabama,barbour,27469
alabama,bibb,22769
alabama,blount,57466
alabama,bullock,10779
alabama,butler,20730
alabama,calhoun,117834
alabama,chambers,34228
alabama,cherokee,25917
alabama,chilton,43611
alabama,choctaw,13838
alabama,clarke,25768
alabama,clay,13828
alabama,cleburne,14905
alabama,coffee,49966
alabama,colbert,54451
alabama,conecuh,13188
alabama,coosa,11305
alabama,covington,37803
alabama,crenshaw,13971
alabama,cullman,80403
alabama,dale,50129
alabama,dallas,43572
alabama,dekalb,70949
alabama,elmore,79330
alabama,escambia,38122
alabama,etowah,104317
alabama,fayette,17219
alabama,franklin,31664
alabama,geneva,26769
alabama,greene,9067
alabama,hale,15750
alabama,henry,17275
alabama,houston,101459
alabama,jackson,53279
alabama,jefferson,658464
alabama,lamar,14513
alabama,lauderdale,92528
alabama,lawrence,34148
alabama,lee,140938
alabama,limestone,83313
alabama,lowndes,11304
alabama,macon,21214
alabama,madison,334661
alabama,marengo,20909
alabama,marion,30641
alabama,marshall,93070
alabama,mobile,412297
alabama,monroe,22993
alabama,montgomery,229376
alabama,morgan,119330
alabama,perry,10525
alabama,pickens,19646
alabama,pike,32750
alabama,randolph,22843
alabama,russell,53938
alabama,st. clair,83530
alabama,shelby,195237
alabama,sumter,13669
alabama,talladega,82194
alabama,tallapoosa,41534
alabama,tuscaloosa,194254
alabama,walker,67016
alabama,washington,17407
alabama,wilcox,11706
alabama,winston,24432
alaska,aleutians east,3114
alaska,aleutians west census area,5507
alaska,anchorage,291470
alaska,bethel,17184
alaska,bristol bay,929
alaska,denali,1917
alaska,dillingham,4887
alaska,fairbanks north star,97523
alaska,haines,2500
alaska,hoonah-angoon,2153
alaska,juneau,31636
alaska,kenai peninsula,55474
alaska,ketchikan gateway,13525
alaska,kodiak island,13710
alaska,lake and peninsula,1551
alaska,matanuska-susitna,89319
alaska,nome,9580
alaska,north slope,9317
alaska,northwest arctic,7601
alaska,petersburg,3822
alaska,prince of wales-hyder,5603
alaska,sitka,8909
alaska,skagway,1050
alaska,southeast fairbanks,7039
alaska,valdez-cordova,9614
alaska,wade hampton,7556
alaska,wrangell,2368
alaska,yakutat,644
alaska,yukon-koyukuk,5637
arizona,apache,71618
arizona,cochise,131118
arizona,coconino,134011
arizona,gila,53436
arizona,graham,37115
arizona,greenlee,8592
arizona,la paz,20460
arizona,maricopa,3841819
arizona,mohave,201216
arizona,navajo,107415
arizona,pima,981048
arizona,pinal,368374
arizona,santa cruz,47057
arizona,yavapai,211280
arizona,yuma,196420
arkansas,arkansas,19029
arkansas,ashley,21811
arkansas,baxter,41387
arkansas,benton,222028
arkansas,boone,37032
arkansas,bradley,11510
arkansas,calhoun,5373
arkansas,carroll,27321
arkansas,chicot,11759
arkansas,clark,23050
arkansas,clay,15981
arkansas,cleburne,25849
arkansas,cleveland,8685
arkansas,columbia,24644
arkansas,conway,21203
arkansas,craighead,96709
arkansas,crawford,61670
arkansas,crittenden,50618
arkansas,cross,17891
arkansas,dallas,8122
arkansas,desha,12922
arkansas,drew,18615
arkansas,faulkner,113730
arkansas,franklin,18110
arkansas,fulton,12301
arkansas,garland,96249
arkansas,grant,17852
arkansas,greene,42224
arkansas,hempstead,22548
arkansas,hot spring,33011
arkansas,howard,13790
arkansas,independence,36572
arkansas,izard,13614
arkansas,jackson,17885
arkansas,jefferson,76836
arkansas,johnson,25554
arkansas,lafayette,7618
arkansas,lawrence,17314
arkansas,lee,10430
arkansas,lincoln,14167
arkansas,little river,13068
arkansas,logan,22352
arkansas,lonoke,68274
arkansas,madison,15674
arkansas,marion,16712
arkansas,miller,43449
arkansas,mississippi,46388
arkansas,monroe,8145
arkansas,montgomery,9453
arkansas,nevada,9003
arkansas,newton,8286
arkansas,ouachita,25894
arkansas,perry,10413
arkansas,phillips,21646
arkansas,pike,11261
arkansas,poinsett,24506
arkansas,polk,20535
arkansas,pope,61853
arkansas,prairie,8659
arkansas,pulaski,383185
arkansas,randolph,17992
arkansas,st. francis,28089
arkansas,saline,107498
arkansas,scott,11170
arkansas,searcy,8146
arkansas,sebastian,125795
arkansas,sevier,16978
arkansas,sharp,17278
arkansas,stone,12480
arkansas,union,41594
arkansas,van buren,17223
arkansas,washington,204057
arkansas,white,77007
arkansas,woodruff,7262
arkansas,yell,22033
california,alameda,1515136
california,alpine,1197
california,amador,37764
california,butte,220101
california,calaveras,45507
california,colusa,21329
california,contra costa,1052047
california,del norte,28496
california,el dorado,180441
california,fresno,930517
california,glenn,28078
california,humboldt,134317
california,imperial,173487
california,inyo,18474
california,kern,839153
california,kings,151982
california,lake,64360
california,lassen,34628
california,los angeles,9840024
california,madera,150615
california,marin,252759
california,mariposa,18193
california,mendocino,87577
california,merced,256398
california,modoc,9545
california,mono,14181
california,monterey,416199
california,napa,136644
california,nevada,98521
california,orange,3021840
california,placer,350074
california,plumas,19926
california,riverside,2192982
california,sacramento,1422348
california,san benito,55467
california,san bernardino,2041029
california,san diego,3100500
california,san francisco,807755
california,san joaquin,687036
california,san luis obispo,270121
california,san mateo,721183
california,santa barbara,423594
california,santa clara,1788393
california,santa cruz,262340
california,shasta,177693
california,sierra,3163
california,siskiyou,44673
california,solano,414209
california,sonoma,483456
california,stanislaus,515115
california,sutter,94615
california,tehama,63200
california,trinity,13693
california,tulare,441877
california,tuolumne,55205
california,ventura,822794
california,yolo,200873
california,yuba,72244
